,author_id,author
0,1,A.S. Byatt
1,2,Aesop/Laura Harris/Laura Gibbs
2,3,Agatha Christie
3,4,Alan Brennert
4,5,Alan Moore/David   Lloyd
5,6,Alan Paton
6,7,Albert Camus/Justin O'Brien
7,8,Aldous Huxley
8,9,Aldous Huxley/Christopher Hitchens
9,10,Aleksandr Solzhenitsyn/H.T. Willetts
10,11,Alexander McCall Smith
11,12,Alexander Pushkin/James E. Falen
12,13,Alexandre Dumas/Robin Buss
13,14,Alice Hoffman
14,15,Alice Walker
15,16,Alison Bechdel
16,17,Allen Ginsberg/William Carlos Williams
17,18,Amy Sedaris
18,19,Amy Tan
19,20,Andy Warhol
20,21,Anita Diamant
21,22,Anita Shreve
22,23,Ann Brashares
23,24,Ann Patchett
24,25,Ann Rule
25,26,Ann-Marie MacDonald
26,27,Anna Quindlen
27,28,Anna Sewell
28,29,Anne Fadiman
29,30,Anne Lamott
30,31,Anne McCaffrey
31,32,Anne Rice
32,33,Anonymous/N.K. Sandars
33,34,Anthony Bourdain
34,35,Aristophanes/Sarah Ruden
35,36,Art Spiegelman
36,37,Arthur  Miller/Christopher Bigsby
37,38,Arthur Conan Doyle/Anne Perry/Sidney Paget
38,39,Arthur Golden
39,40,Astrid Lindgren/Florence Lamborn/Louis S. Glanzman
40,41,Atul Gawande/Susanne Kuhlmann-Krieg
41,42,Audrey Penn/Ruth E. Harper/Nancy M. Leak
42,43,Augusten Burroughs
43,44,Ayn Rand
44,45,Ayn Rand/Leonard Peikoff
45,46,Azar Nafisi
46,47,Barack Obama
47,48,Barbara Ehrenreich
48,49,Barbara Kingsolver
49,50,Barbara Kingsolver/Steven L. Hopp/Camille Kingsolver/Richard A. Houser
50,51,Barbara Taylor Bradford
51,52,Barbara W. Tuchman/Robert K. Massie
52,53,Beatrix Potter
53,54,Betty  Smith
54,55,Betty MacDonald/Alexandra Boiger
55,56,Bill Bryson
56,57,Bill Watterson
57,58,Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean
58,59,Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen
59,60,Billie Letts
60,61,Bob Dylan
61,62,Bram Stoker/Nina Auerbach/David J. Skal
62,63,Brandon Mull
63,64,Bret Easton Ellis
64,65,Brian Greene
65,66,Brian Jacques
66,67,Bryan Lee O'Malley
67,68,Bryce Courtenay
68,69,C.S. Lewis
69,70,CLAMP/Anthony Gerard
70,71,Caleb Carr
71,72,Candace Bushnell
72,73,Carl Hiaasen
73,74,Carl Sagan/Ann Druyan
74,75,Caroline B. Cooney
75,76,Carolyn Keene/Russell H. Tandy/Sara Paretsky
76,77,Carson McCullers
77,78,Cecily von Ziegesar
78,79,Chaim Potok
79,80,Charles Bukowski
80,81,Charles Burns
81,82,Charles C. Mann
82,83,Charles Darwin
83,84,Charles Dickens
84,85,Charles Dickens/Michael Slater
85,86,Charles Dickens/Nicola Bradbury/Hablot Knight Browne
86,87,Charles Dickens/Stephen J. Wall/Helen Small
87,88,Charles Frazier
88,89,Charlotte Brontë/Michael Mason
89,90,Chimamanda Ngozi Adichie
90,91,Christina Schwarz
91,92,Christine Feehan
92,93,Christopher Marlowe
93,94,Christopher Moore
94,95,Chuck Klosterman
95,96,Chuck Palahniuk
96,97,Clayton M. Christensen/L.J. Ganser
97,98,Clive Cussler
98,99,Cormac McCarthy
99,100,Cornelia Funke/Anthea Bell
100,101,Craig Thompson
101,102,Curtis Sittenfeld
102,103,D.H. Lawrence/Geoff Dyer
103,104,Dalai Lama XIV/Howard C. Cutler
104,105,Dale Carnegie
105,106,Dan Brown
106,107,Dan Millman
107,108,Dan Simmons
108,109,Daniel Defoe/Mark Schorer/Georgina Sutton
109,110,Daniel Defoe/Virginia Woolf
110,111,Daniel Goleman
111,112,Daniel Keyes
112,113,Dante Alighieri/Allen Mandelbaum/Eugenio Montale
113,114,Daphne du Maurier/Sally Beauman
114,115,Dashiell Hammett
115,116,Dava Sobel/Neil Armstrong
116,117,Dave Barry/Ridley Pearson/Greg Call
117,118,Dave Eggers
118,119,Dave Pelzer
119,120,David    Allen
120,121,David Baldacci
121,122,David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman
122,123,David Foster Wallace
123,124,David Levithan
124,125,David McCullough
125,126,David Weber
126,127,Dean Koontz
127,128,Dean R. Koontz
128,129,Dennis Lehane
129,130,Diana Gabaldon
130,131,Diana Gabaldon/Janos Farkas
131,132,Diana Wynne Jones
132,133,Diane Setterfield
133,134,Dodie Smith
134,135,Don DeLillo
135,136,Donald Miller
136,137,Donna Tartt
137,138,Donna VanLiere
138,139,Donna Woolfolk Cross
139,140,Doris Kearns Goodwin
140,141,Douglas Adams
141,142,Douglas Preston/Lincoln Child
142,143,Dr. Seuss
143,144,Dr. Seuss/Various
144,145,E.B. White/Fred Marcellino
145,146,E.B. White/Garth Williams/Rosemary Wells
146,147,E.M. Forster
147,148,E.M. Forster/Oliver Stallybrass/Pankaj Mishra
148,149,Eckhart Tolle
149,150,Edgar Allan Poe
150,151,Edgar Allan Poe/Benjamin F. Fisher
151,152,Edgar Rice Burroughs
152,153,Edgar Rice Burroughs/John Seelye
