,publisher_id,publisher
0,1,Ace
1,2,Ace Book
2,3,Ace Books
3,4,Ace Hardcover
4,5,Addison Wesley Publishing Company
5,6,Aladdin
6,7,Aladdin Paperbacks
7,8,Albin Michel
8,9,Alfred A. Knopf
9,10,Alfred A. Knopf Books for Young Readers
10,11,Alfred A. Knopf Borzoi Books
11,12,Algonquin Books
12,13,Allen & Ulwin
13,14,Amistad
14,15,Anchor
15,16,Anchor Books
16,17,Anchor Books/Knopf Doubleday Publishing Group
17,18,Andrews McMeel Publishing
18,19,Applewood Books
19,20,Arrow
20,21,Arrow Books
21,22,Arrow Books Ltd
22,23,Arthur A. Levine Books
23,24,Arthur A. Levine Books / Scholastic Inc.
24,25,Atheneum Books for Young Readers
25,26,Atheneum Books for Young Readers: Richard Jackson Books
26,27,Atria Books
27,28,Avon
28,29,Avon Books
29,30,BALLANTINE BOOKS
30,31,Back Bay Books
31,32,Baen Books
32,33,Ballantine Books
33,34,Ballantine Books (NY)
34,35,Bantam
35,36,Bantam Books
36,37,Bantam Books  Inc.
37,38,Bantam Classics
38,39,Bantam Doubleday Dell (NYC)
39,40,Bantam Spectra
40,41,Bantem Press
41,42,Barnes  Noble Classics
42,43,Barnes & Noble
43,44,Beacon Press
44,45,Berkley
45,46,Berkley Books
46,47,Berkley Hardcover
47,48,Berkley Publishing Group
48,49,Black Dog & Leventhal
49,50,Black Dog & Leventhal Publishers
50,51,Black Swan
51,52,Bloomsbury Academic
52,53,Bloomsbury Childrens Books
53,54,Bloomsbury Methuen Drama
54,55,Brilliance Audio
55,56,Broadway Books
56,57,Cambridge University Press
57,58,Candlewick Press
58,59,Canongate U.S.
59,60,Castle Books
60,61,Children's Classics
61,62,Citadel
62,63,City Lights
63,64,Clarkson Potter
64,65,Corgi
65,66,Corgi Childrens
66,67,Crossway Books
67,68,Crown
68,69,Crown Publishing Group (NY)
69,70,DAW
70,71,DC Comics
71,72,Dante University of America Press
72,73,David R. Godine Publisher
73,74,Daw Books
74,75,Debolsillo
75,76,Del Rey
76,77,Del Rey Books
77,78,Delacorte Books
78,79,Delacorte Press
79,80,Dell
80,81,Dell Laurel-Leaf
81,82,Dell Publishing Company
82,83,Delta
83,84,Delta Publishing
84,85,Deodand
85,86,Devil's Due Publishing
86,87,Dial Books
87,88,Dial Press
88,89,Dial Press Trade Paperback
89,90,Digireads.com
90,91,Disney Hyperion Books
91,92,Disney-Hyperion
92,93,Doubleday
93,94,Doubleday & Company  Inc.
94,95,Doubleday Books
95,96,Dover Publications
96,97,Dramatists Play Service
97,98,Dutton
98,99,Ecco
99,100,Ecco/Harper Perennial
100,101,Ember
101,102,Eos
102,103,Everyman's Library
103,104,Faber  Faber
104,105,Farrar  Straus and Giroux
105,106,Farrar  Straus and Giroux (NY)
106,107,Fourth Estate Paperbacks
107,108,Free Press
108,109,G.P. Putnam's Sons
109,110,Gallery / Saga Press
110,111,Gallery Books
111,112,Golden Books
112,113,Golden/Disney
113,114,Gollancz
114,115,Gramercy Books
115,116,Grand Central Publishing
116,117,Green Integer
117,118,Griffin
118,119,Grove Press
119,120,HJ Kramer
120,121,HMH Books for Young Readers
121,122,Hachette Books
122,123,Hackett Publishing Company  Inc.
123,124,Harcourt  Inc.(Harvest Book)
124,125,Harcourt Brace
125,126,Harper
126,127,Harper Business
127,128,Harper Paperbacks
128,129,Harper Perennial
129,130,Harper Perennial Modern Classics
130,131,Harper Trophy
131,132,Harper Voyager
132,133,HarperCollins
133,134,HarperCollins Perennial
134,135,HarperCollins Publishers
135,136,HarperCollins Publishers Ltd
136,137,HarperCollinsChildren’sBooks
137,138,HarperCollinsPublishers
138,139,HarperOne
139,140,HarperPerennial / Perennial Classics
140,141,HarperPrism
